field_1,utility_name,date,time,latitude,longitude,material_at_origin,size,type,suspected_initiating_event,highlight,year
"2171",PG&E,2017/07/12 00:00:00,15:09,37.149075,-122.003705,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"2194",PG&E,2017/10/13 00:00:00,10:27,37.056071,-122.020565,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"2199",PG&E,2015/08/17 00:00:00,8:37,37.07566999,-122.02303,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2201",PG&E,2018/10/07 00:00:00,1:44,37.177957,-122.02666,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2204",PG&E,2018/07/27 00:00:00,23:12,37.180044,-122.029026,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2219",PG&E,2018/08/31 00:00:00,18:09,37.0548,-122.0472,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2247",PG&E,2018/07/10 00:00:00,6:45,37.0849617,-122.0744067,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2018
"2260",PG&E,2014/11/18 00:00:00,14:16,37.035305,-122.086565,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2278",PG&E,2018/08/07 00:00:00,17:15,37.118119,-122.109267,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2283",PG&E,2016/09/25 00:00:00,19:19,37.09928,-122.115529,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"2301",PG&E,2019/10/20 00:00:00,17:09,37.15852,-122.1338983,,< 0.25 Acres,Overhead,Equipment - PG&E,False,2019
"2302",PG&E,2016/09/18 00:00:00,14:33,37.1618533,-122.1347,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2016
"2315",PG&E,2014/07/24 00:00:00,1:04,37.081274,-122.142584,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2322",PG&E,2019/07/21 00:00:00,12:46,37.051662,-122.152184,Vegetation,< 0.25 Acres,Overhead,Vegetation,False,2019
"2327",PG&E,2017/12/29 00:00:00,16:31,37.8516812,-122.158631,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2017
"2328",PG&E,2015/01/26 00:00:00,3:51,37.05394,-122.15867,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2334",PG&E,2014/09/01 00:00:00,15:58,37.05996,-122.16629,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2014
"2337",PG&E,2017/08/14 00:00:00,23:52,37.127209,-122.168948,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2017
"2347",PG&E,2015/08/07 00:00:00,6:32,37.840049,-122.18234,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2351",PG&E,2017/06/13 00:00:00,14:30,37.852648,-122.185288,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2017
"2376",PG&E,2015/08/27 00:00:00,3:30,37.844804,-122.199224,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2378",PG&E,2019/09/05 00:00:00,23:02,37.16527,-122.20099,Vegetation,< 0.25 Acres,Overhead,Vegetation,False,2019
"2379",PG&E,2019/09/10 00:00:00,7:13,37.16527,-122.20099,Vegetation,< 0.25 Acres,Overhead,Vegetation,False,2019
"2413",PG&E,2014/09/03 00:00:00,13:21,37.904096,-122.229655,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2455",PG&E,2014/12/12 00:00:00,22:15,37.391795,-122.2670467,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2522",PG&E,2016/06/12 00:00:00,1:45,37.4643,-122.3459,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2016
"2528",PG&E,2015/09/10 00:00:00,16:24,38.504872,-122.353464,Vegetation,10 - 99 Acres,Overhead,Equipment/ Facility Failure,False,2015
